node_id,label,node_type,total_count
per::she,She,per,27
per::”,”,per,27
hashtag::teamtrump,#teamtrump,hashtag,26
hashtag::trumppence16,#trumppence16,hashtag,26
hashtag::vpdebate,#vpdebate,hashtag,26
loc::argentina,Argentina,loc,26
loc::ga,Ga,loc,26
loc::jerusalem,Jerusalem,loc,26
loc::nashville,Nashville,loc,26
loc::tampa,Tampa,loc,26
mention::macmiller,@macmiller,mention,26
mention::perduesenate,@perduesenate,mention,26
mention::stevehiltonx,@stevehiltonx,mention,26
mention::trish_regan,@trish_regan,mention,26
mention::trumpferrypoint,@trumpferrypoint,mention,26
mention::usnavy,@usnavy,mention,26
mention::vincemcmahon,@vincemcmahon,mention,26
org::all,All,org,26
org::as,As,org,26
org::cbsnews,Cbsnews,org,26
org::cnnpolitics,Cnnpolitics,org,26
org::elon,Elon,org,26
org::farmers,Farmers,org,26
org::fda,Fda,org,26
org::greggj,Greggj,org,26
org::icag,Icag,org,26
org::iowa,Iowa,org,26
org::joenbc,Joenbc,org,26
org::kcnbc,Kcnbc,org,26
org::muslim brotherhood,Muslim Brotherhood,org,26
org::tea party,Tea Party,org,26
per::anthony weiner,Anthony Weiner,per,26
per::as,As,per,26
per::en,En,per,26
per::franklin,Franklin,per,26
per::gavin newscum,Gavin Newscum,per,26
per::go,Go,per,26
per::ha,Ha,per,26
per::john kerry,John Kerry,per,26
per::snowden,Snowden,per,26
per::tim scott,Tim Scott,per,26
loc::pakistan,Pakistan,loc,25
mention::cspan,@cspan,mention,25
mention::danamira,@danamira,mention,25
mention::diamondandsilk,@diamondandsilk,mention,25
mention::dineshdsouza,@dineshdsouza,mention,25
mention::eddierispone,@eddierispone,mention,25
mention::jacknicklaus,@jacknicklaus,mention,25
mention::jasoninthehouse,@jasoninthehouse,mention,25
mention::laraleatrump,@laraleatrump,mention,25
mention::macy,@macy,mention,25
mention::ricksantorum,@ricksantorum,mention,25
mention::rnc,@rnc,mention,25
mention::sarahpalinusa,@sarahpalinusa,mention,25
org::60 minutes,60 Minutes,org,25
org::cele,Cele,org,25
org::dhs,Dhs,org,25
org::el,El,org,25
org::grea,Grea,org,25
org::letterman,Letterman,org,25
org::new,New,org,25
org::texas elected leadership team,Texas Elected Leadership Team,org,25
org::trumpscotland,Trumpscotland,org,25
org::us,Us,org,25
per::ch,Ch,per,25
per::don carter,Don Carter,per,25
per::fred,Fred,per,25
per::henry ford,Henry Ford,per,25
per::ine waters,Ine Waters,per,25
per::jay,Jay,per,25
per::john kelly,John Kelly,per,25
per::laura,Laura,per,25
per::oh,Oh,per,25
per::sa,Sa,per,25
per::warren,Warren,per,25
per::wei,Wei,per,25
hashtag::debates2016,#debates2016,hashtag,24
hashtag::kag,#kag,hashtag,24
hashtag::paycheckprotectionprogram,#paycheckprotectionprogram,hashtag,24
loc::border wall,Border Wall,loc,24
loc::connecticut,Connecticut,loc,24
loc::florence,Florence,loc,24
loc::gaza,Gaza,loc,24
loc::tx,Tx,loc,24
loc::u. k,U. K,loc,24
mention::buffalobills,@buffalobills,mention,24
mention::forbes,@forbes,mention,24
mention::jimmyfallon,@jimmyfallon,mention,24
mention::late_show,@late_show,mention,24
mention::missusa,@missusa,mention,24
mention::nbcsnl,@nbcsnl,mention,24
mention::realdonaldtrumpthis,@realdonaldtrumpthis,mention,24
mention::richlowry,@richlowry,mention,24
mention::rncresearch,@rncresearch,mention,24
mention::sendavidperdue,@sendavidperdue,mention,24
org::abc fake news,Abc Fake News,org,24
org::barackoba,Barackoba,org,24
org::clinton foundation,Clinton Foundation,org,24
org::hu,Hu,org,24
org::iden administration,Iden Administration,org,24
org::isa,Isa,org,24
org::jobs,Jobs,org,24
org::nafta,Nafta,org,24
org::pentagon,Pentagon,org,24
org::reuters,Reuters,org,24
org::saracarterdc,Saracarterdc,org,24
org::zer,Zer,org,24
per::bb,Bb,per,24
per::brian kemp,Brian Kemp,per,24
per::do,Do,per,24
per::elizabeth,Elizabeth,per,24
per::hannity,Hannity,per,24
per::joebiden,Joebiden,per,24
per::ny,Ny,per,24
per::rudygiulian,Rudygiulian,per,24
per::sarah,Sarah,per,24
per::se,Se,per,24
per::ubi,Ubi,per,24
hashtag::agenda47,#agenda47,hashtag,23
hashtag::iacaucus,#iacaucus,hashtag,23
hashtag::lesm,#lesm,hashtag,23
hashtag::theapprentice,#theapprentice,hashtag,23
loc::charlottesville,Charlottesville,loc,23
loc::el paso,El Paso,loc,23
loc::houston,Houston,loc,23
loc::k,K,loc,23
loc::massachusetts,Massachusetts,loc,23
loc::trump national golf club,Trump National Golf Club,loc,23
loc::turnberry,Turnberry,loc,23
mention::arseniohall,@arseniohall,mention,23
mention::cpacnews,@cpacnews,mention,23
mention::dmregister,@dmregister,mention,23
mention::espn,@espn,mention,23
mention::frankluntz,@frankluntz,mention,23
mention::genflynn,@genflynn,mention,23
mention::gstephanopoulos,@gstephanopoulos,mention,23
mention::hughhewitt,@hughhewitt,mention,23
mention::ianziering,@ianziering,mention,23
mention::iapolls20222024,@iapolls20222024,mention,23
mention::istandwithtrump47,@istandwithtrump47,mention,23
mention::katiepavlich,@katiepavlich,mention,23
mention::kimguilfoyle,@kimguilfoyle,mention,23
mention::kloeffler,@kloeffler,mention,23
mention::petehegseth,@petehegseth,mention,23
mention::realjameswoods,@realjameswoods,mention,23
mention::senjoniernst,@senjoniernst,mention,23
mention::time,@time,mention,23
org::epa,Epa,org,23
org::inos,Inos,org,23
org::military & vets,Military & Vets,org,23
org::nh,Nh,org,23
org::ohio,Ohio,org,23
org::pa,Pa,org,23
org::se,Se,org,23
org::u. s. army,U. S. Army,org,23
org::z,Z,org,23
org::“,“,org,23
per::adam schi,Adam Schi,per,23
per::brett kavanaugh,Brett Kavanaugh,per,23
per::howard,Howard,per,23
per::jeffrey lord,Jeffrey Lord,per,23
per::john brennan,John Brennan,per,23
per::juan merchan,Juan Merchan,per,23
per::karl,Karl,per,23
per::lisa monaco,Lisa Monaco,per,23
per::omar,Omar,per,23
per::rump,Rump,per,23
loc::camp david,Camp David,loc,22
loc::ussi,Ussi,loc,22
loc::wilmington,Wilmington,loc,22
mention::barbarajwalters,@barbarajwalters,mention,22
mention::davidjharrisjr,@davidjharrisjr,mention,22
mention::dennisrodman,@dennisrodman,mention,22
mention::doralresort,@doralresort,mention,22
mention::emmanuelmacron,@emmanuelmacron,mention,22
mention::foxnewssunday,@foxnewssunday,mention,22
mention::jaketapper,@jaketapper,mention,22
mention::jennaellisesq,@jennaellisesq,mention,22
mention::kyleraccio,@kyleraccio,mention,22
mention::mitchellvii,@mitchellvii,mention,22
mention::nfl,@nfl,mention,22
mention::pollwatch2020,@pollwatch2020,mention,22
mention::realbencarson,@realbencarson,mention,22
mention::sharylattkisson,@sharylattkisson,mention,22
mention::speedy13,@speedy13,mention,22
mention::stevedaines,@stevedaines,mention,22
mention::timmurtaugh,@timmurtaugh,mention,22
org::air force one,Air Force One,org,22
org::ala,Ala,org,22
org::do nothing democrats,Do Nothing Democrats,org,22
org::failing new york times,Failing New York Times,org,22
org::foxbusiness,Foxbusiness,org,22
per::alan dershowitz,Alan Dershowitz,per,22
per::ben,Ben,per,22
per::cheney,Cheney,per,22
per::garland,Garland,per,22
per::hillaryclinton,Hillaryclinton,per,22
per::howard stern,Howard Stern,per,22
per::kimstras,Kimstras,per,22
per::mini mike,Mini Mike,per,22
per::ricksantorum,Ricksantorum,per,22
per::roger ailes,Roger Ailes,per,22
per::ryan,Ryan,per,22
hashtag::sweepstweet,#sweepstweet,hashtag,21
hashtag::tcot,#tcot,hashtag,21
loc::asia,Asia,loc,21
loc::butler,Butler,loc,21
loc::d,D,loc,21
loc::el salvador,El Salvador,loc,21
loc::ferry point,Ferry Point,loc,21
loc::h,H,loc,21
loc::milwaukee,Milwaukee,loc,21
loc::oregon,Oregon,loc,21
loc::singapore,Singapore,loc,21
loc::south africa,South Africa,loc,21
loc::yor,Yor,loc,21
mention::ariannahuff,@ariannahuff,mention,21
mention::donlemon,@donlemon,mention,21
mention::flgovscott,@flgovscott,mention,21
mention::franklin_graham,@franklin_graham,mention,21
mention::lizrnc,@lizrnc,mention,21
mention::marthamaccallum,@marthamaccallum,mention,21
mention::realdonaldtrumpa,@realdonaldtrumpa,mention,21
mention::realdonaldtrumpso,@realdonaldtrumpso,mention,21
mention::rsbnlive,@rsbnlive,mention,21
mention::senatortimscott,@senatortimscott,mention,21
mention::senrickscott,@senrickscott,mention,21
mention::thebrodyfile,@thebrodyfile,mention,21
mention::tonyxtwo,@tonyxtwo,mention,21
mention::trumpcollection,@trumpcollection,mention,21
mention::usminority,@usminority,mention,21
org::boeing,Boeing,org,21
org::deep state,Deep State,org,21
org::forbes,Forbes,org,21
org::fusion gps,Fusion Gps,org,21
org::keystone,Keystone,org,21
org::tpp,Tpp,org,21
org::trump international,Trump International,org,21
per::am,Am,per,21
per::andy,Andy,per,21
per::ania trump,Ania Trump,per,21
per::brandon,Brandon,per,21
per::brian williams,Brian Williams,per,21
per::dan bishop,Dan Bishop,per,21
per::i,I,per,21
per::jerry,Jerry,per,21
per::ki,Ki,per,21
per::mac miller,Mac Miller,per,21
per::maria bartiromo,Maria Bartiromo,per,21
per::on musk,On Musk,per,21
per::randy,Randy,per,21
per::roger,Roger,per,21
per::seanh,Seanh,per,21
per::sh patel,Sh Patel,per,21
per::tucker,Tucker,per,21
hashtag::impeachment,#impeachment,hashtag,20
hashtag::magarally,#magarally,hashtag,20
hashtag::potus,#potus,hashtag,20
hashtag::wwehof,#wwehof,hashtag,20
loc::amazon,Amazon,loc,20
loc::dayton,Dayton,loc,20
loc::grand rapids,Grand Rapids,loc,20
loc::il,Il,loc,20
loc::uae,Uae,loc,20
mention::fundanything,@fundanything,mention,20
mention::heytammybruce,@heytammybruce,mention,20
mention::jiminhofe,@jiminhofe,mention,20
mention::liljon,@liljon,mention,20
mention::repratcliffe,@repratcliffe,mention,20
mention::uscg,@uscg,mention,20
org::ailing new york times,Ailing New York Times,org,20
org::appeals court,Appeals Court,org,20
org::commercial division,Commercial Division,org,20
org::doral,Doral,org,20
org::enemy of the people,Enemy Of The People,org,20
org::foxb,Foxb,org,20
org::general motors,General Motors,org,20
org::hbo,Hbo,org,20
org::movement,Movement,org,20
org::nation,Nation,org,20
org::social media,Social Media,org,20
org::teamcavuto,Teamcavuto,org,20
org::trumplasv,Trumplasv,org,20
org::usmc,Usmc,org,20
per::bo,Bo,per,20
per::gary,Gary,per,20
per::greg kelly,Greg Kelly,per,20
per::ive,Ive,per,20
per::jason,Jason,per,20
per::jay powell,Jay Powell,per,20
per::jimmy carter,Jimmy Carter,per,20
per::joe scarborough,Joe Scarborough,per,20
per::josh,Josh,per,20
per::lance armstrong,Lance Armstrong,per,20
per::lisa,Lisa,per,20
per::luther strange,Luther Strange,per,20
per::maria,Maria,per,20
per::net,Net,per,20
per::nick,Nick,per,20
per::pier,Pier,per,20
per::retbai,Retbai,per,20
per::rob,Rob,per,20
per::ron desanct,Ron Desanct,per,20
per::victor davis hanson,Victor Davis Hanson,per,20
per::vince,Vince,per,20
per::vince lombard,Vince Lombard,per,20
hashtag::america,#america,hashtag,19
hashtag::missuniverse,#missuniverse,hashtag,19
hashtag::toobigtorig,#toobigtorig,hashtag,19
hashtag::unga,#unga,hashtag,19
loc::buffalo,Buffalo,loc,19
loc::cincinnati,Cincinnati,loc,19
loc::hollywood,Hollywood,loc,19
loc::south dakota,South Dakota,loc,19
loc::trump international golf club,Trump International Golf Club,loc,19
loc::west point,West Point,loc,19
mention::bahia6085,@bahia6085,mention,19
mention::cahlrstorrie,@cahlrstorrie,mention,19
mention::fackinpeter,@fackinpeter,mention,19
mention::foxnewsinsider,@foxnewsinsider,mention,19
mention::gma,@gma,mention,19
mention::jennifer75ar,@jennifer75ar,mention,19
mention::johnlegere,@johnlegere,mention,19
mention::lawrence,@lawrence,mention,19
mention::mattginellagc,@mattginellagc,mention,19
mention::morningsmaria,@morningsmaria,mention,19
mention::nasa,@nasa,mention,19
mention::not_that_actor,@not_that_actor,mention,19
mention::pianobecca,@pianobecca,mention,19
mention::realdonaldtrumpwe,@realdonaldtrumpwe,mention,19
mention::realdonaldtrumpwow,@realdonaldtrumpwow,mention,19
mention::secazar,@secazar,mention,19
mention::senthomtillis,@senthomtillis,mention,19
mention::statedept,@statedept,mention,19
mention::theblaze,@theblaze,mention,19
mention::thisweekabc,@thisweekabc,mention,19
mention::trumppanama,@trumppanama,mention,19
mention::usatoday,@usatoday,mention,19
org::border,Border,org,19
org::cadillacchamp,Cadillacchamp,org,19
org::club for no growth,Club For No Growth,org,19
org::control,Control,org,19
org::grahama,Grahama,org,19
org::marine corps,Marine Corps,org,19
org::pianobecca,Pianobecca,org,19
org::republican national committee,Republican National Committee,org,19
org::rt,Rt,org,19
org::sc,Sc,org,19
org::state house,State House,org,19
org::time magazine,Time Magazine,org,19
org::trumpf,Trumpf,org,19
org::u. s. military,U. S. Military,org,19
org::u. s. supreme court,U. S. Supreme Court,org,19
per::andrew c. mccarthy,Andrew C. Mccarthy,per,19
per::andy mccarthy,Andy Mccarthy,per,19
per::crazy bernie,Crazy Bernie,per,19
per::dorian,Dorian,per,19
per::ed henry,Ed Henry,per,19
per::gerald,Gerald,per,19
per::han,Han,per,19
per::jeff van drew,Jeff Van Drew,per,19
per::jerry nadler,Jerry Nadler,per,19
per::jimmy,Jimmy,per,19
per::kerry,Kerry,per,19
per::larry,Larry,per,19
per::lindseygrah,Lindseygrah,per,19
per::mac,Mac,per,19
per::mark cuban,Mark Cuban,per,19
per::pence,Pence,per,19
per::peter,Peter,per,19
per::ron desan,Ron Desan,per,19
per::sanders,Sanders,per,19
per::smus,Smus,per,19
per::taylor,Taylor,per,19
hashtag::phpnews,#phpnews,hashtag,18
hashtag::trumpwon,#trumpwon,hashtag,18
loc::ar,Ar,loc,18
loc::aurora,Aurora,loc,18
loc::cleveland,Cleveland,loc,18
loc::i,I,loc,18
loc::idaho,Idaho,loc,18
loc::jacksonville,Jacksonville,loc,18
loc::our country,Our Country,loc,18
loc::philippines,Philippines,loc,18
mention::alandersh,@alandersh,mention,18
mention::backontrackusa,@backontrackusa,mention,18
mention::charleshurt,@charleshurt,mention,18
mention::govmikehuckabee,@govmikehuckabee,mention,18
mention::hardball_chris,@hardball_chris,mention,18
mention::jonahnro,@jonahnro,mention,18
mention::patriotsincontrol,@patriotsincontrol,mention,18
mention::realdonaldtrumpcongressman,@realdonaldtrumpcongressman,mention,18
mention::realdonaldtrumpelection,@realdonaldtrumpelection,mention,18
mention::ronmeier123,@ronmeier123,mention,18
mention::thejtlewis,@thejtlewis,mention,18
mention::tmobile,@tmobile,mention,18
mention::trump_charlotte,@trump_charlotte,mention,18
org::americ,Americ,org,18
org::blm,Blm,org,18
org::board,Board,org,18
org::china,China,org,18
org::davidjh,Davidjh,org,18
org::first responders,First Responders,org,18
org::late division,Late Division,org,18
org::law & order,Law & Order,org,18
org::national review,National Review,org,18
org::nsa,Nsa,org,18
org::patriotsi,Patriotsi,org,18
org::rino,Rino,org,18
org::texas,Texas,org,18
org::times,Times,org,18
org::trump university,Trump University,org,18
org::u. s. navy,U. S. Navy,org,18
per::bin laden,Bin Laden,per,18
per::ce,Ce,per,18
per::charlie kirk,Charlie Kirk,per,18
per::da,Da,per,18
per::derek,Derek,per,18
per::don jr,Don Jr,per,18
per::fty schiff,Fty Schiff,per,18
per::her,Her,per,18
per::in,In,per,18
per::john bel edwards,John Bel Edwards,per,18
per::kate,Kate,per,18
per::kay,Kay,per,18
per::lake,Lake,per,18
per::larry kudlow,Larry Kudlow,per,18
per::marco,Marco,per,18
per::ri lake,Ri Lake,per,18
per::rush limbaugh,Rush Limbaugh,per,18
per::sam,Sam,per,18
per::sich,Sich,per,18
per::soleimani,Soleimani,per,18
per::stephen,Stephen,per,18
per::stephen miller,Stephen Miller,per,18
per::susan rice,Susan Rice,per,18
per::t gingrich,T Gingrich,per,18
per::vance,Vance,per,18
hashtag::chicago,#chicago,hashtag,17
hashtag::hannity,#hannity,hashtag,17
hashtag::supertuesday,#supertuesday,hashtag,17
hashtag::vote,#vote,hashtag,17
loc::bahrain,Bahrain,loc,17
loc::brussels,Brussels,loc,17
loc::center,Center,loc,17
loc::co,Co,loc,17
loc::g,G,loc,17
loc::kamal,Kamal,loc,17
loc::switzerland,Switzerland,loc,17
mention::arifleischer,@arifleischer,mention,17
mention::bretmichaels,@bretmichaels,mention,17
mention::cvpayne,@cvpayne,mention,17
mention::davidaxelrod,@davidaxelrod,mention,17
mention::ewerickson,@ewerickson,mention,17
mention::glennbeck,@glennbeck,mention,17
mention::golfchannel,@golfchannel,mention,17
mention::iontv,@iontv,mention,17
mention::mattbevin,@mattbevin,mention,17
mention::michaelcohen212,@michaelcohen212,mention,17
mention::newsmaxtrump,@newsmaxtrump,mention,17
mention::realdonaldtrumppage,@realdonaldtrumppage,mention,17
mention::scottadamssays,@scottadamssays,mention,17
mention::sencorygardner,@sencorygardner,mention,17
mention::stevekingia,@stevekingia,mention,17
mention::therightmelissa,@therightmelissa,mention,17
mention::theviewtv,@theviewtv,mention,17
org::amazon washington post,Amazon Washington Post,org,17
org::bar,Bar,org,17
org::ennsylvania,Ennsylvania,org,17
org::fec,Fec,org,17
org::gma,Gma,org,17
org::justice,Justice,org,17
org::mar,Mar,org,17
org::military and veterans,Military And Veterans,org,17
org::oprah,Oprah,org,17
org::post,Post,org,17
org::radical left lunatics,Radical Left Lunatics,org,17
org::realbencarson,Realbencarson,org,17
org::state of the union,State Of The Union,org,17
org::tr,Tr,org,17
org::trump national,Trump National,org,17
org::trumptow,Trumptow,org,17
org::trumpturnberry,Trumpturnberry,org,17
org::trumpw,Trumpw,org,17
org::turnberry,Turnberry,org,17
org::yale,Yale,org,17
per::ba,Ba,per,17
per::barack,Barack,per,17
per::charles,Charles,per,17
per::comey,Comey,per,17
per::d vance,D Vance,per,17
per::dana white,Dana White,per,17
per::din,Din,per,17
per::greg abbott,Greg Abbott,per,17
per::josh hawley,Josh Hawley,per,17
per::kai,Kai,per,17
per::katie,Katie,per,17
per::michelle,Michelle,per,17
per::neil cavuto,Neil Cavuto,per,17
per::phil,Phil,per,17
per::schiff,Schiff,per,17
per::ta,Ta,per,17
per::ted wheeler,Ted Wheeler,per,17
per::tom tiffany,Tom Tiffany,per,17
per::tony,Tony,per,17
per::trace,Trace,per,17
hashtag::breaking,#breaking,hashtag,16
hashtag::florence,#florence,hashtag,16
hashtag::magahttps,#magahttps,hashtag,16
hashtag::snl,#snl,hashtag,16
hashtag::trump16,#trump16,hashtag,16
loc::bronx,Bronx,loc,16
loc::capitol hill,Capitol Hill,loc,16
loc::greenville,Greenville,loc,16
loc::isis,Isis,loc,16
loc::neva,Neva,loc,16
loc::panama,Panama,loc,16
loc::rose garden,Rose Garden,loc,16
loc::vancouver,Vancouver,loc,16
