edge_id,source,target,total_count
mention::realdonaldtrump|topic::media_communications,mention::realdonaldtrump,topic::media_communications,9452
topic::health_public_health|topic::media_communications,topic::health_public_health,topic::media_communications,7258
topic::law_justice_crime|topic::media_communications,topic::law_justice_crime,topic::media_communications,5916
per::trump|topic::media_communications,per::trump,topic::media_communications,4047
topic::elections_campaigns|topic::media_communications,topic::elections_campaigns,topic::media_communications,4032
topic::endorsements_appointments|topic::media_communications,topic::endorsements_appointments,topic::media_communications,2756
topic::energy_environment|topic::health_public_health,topic::energy_environment,topic::health_public_health,2729
topic::energy_environment|topic::media_communications,topic::energy_environment,topic::media_communications,2610
mention::realdonaldtrump|topic::elections_campaigns,mention::realdonaldtrump,topic::elections_campaigns,2467
topic::foreign_policy_diplomacy|topic::media_communications,topic::foreign_policy_diplomacy,topic::media_communications,2320
mention::realdonaldtrump|topic::endorsements_appointments,mention::realdonaldtrump,topic::endorsements_appointments,2033
topic::congress_governance|topic::media_communications,topic::congress_governance,topic::media_communications,1782
topic::health_public_health|topic::law_justice_crime,topic::health_public_health,topic::law_justice_crime,1554
per::trump|topic::elections_campaigns,per::trump,topic::elections_campaigns,1446
loc::america|topic::media_communications,loc::america,topic::media_communications,1167
per::donald trump|topic::media_communications,per::donald trump,topic::media_communications,1097
topic::congress_governance|topic::law_justice_crime,topic::congress_governance,topic::law_justice_crime,1088
per::trump|topic::law_justice_crime,per::trump,topic::law_justice_crime,1066
mention::realdonaldtrump|topic::health_public_health,mention::realdonaldtrump,topic::health_public_health,1053
topic::elections_campaigns|topic::law_justice_crime,topic::elections_campaigns,topic::law_justice_crime,1035
mention::realdonaldtrump|per::trump,mention::realdonaldtrump,per::trump,1017
per::b|per::iden,per::b,per::iden,998
org::foxnews|topic::media_communications,org::foxnews,topic::media_communications,988
per::b|topic::media_communications,per::b,topic::media_communications,985
per::obama|topic::media_communications,per::obama,topic::media_communications,951
mention::foxnews|topic::media_communications,mention::foxnews,topic::media_communications,941
topic::immigration_border|topic::law_justice_crime,topic::immigration_border,topic::law_justice_crime,929
org::congress|topic::congress_governance,org::congress,topic::congress_governance,813
mention::foxnews|org::foxnews,mention::foxnews,org::foxnews,804
mention::whitehouse|topic::media_communications,mention::whitehouse,topic::media_communications,801
topic::congress_governance|topic::health_public_health,topic::congress_governance,topic::health_public_health,801
per::joe biden|topic::media_communications,per::joe biden,topic::media_communications,796
org::fbi|topic::law_justice_crime,org::fbi,topic::law_justice_crime,767
topic::immigration_border|topic::media_communications,topic::immigration_border,topic::media_communications,740
topic::congress_governance|topic::elections_campaigns,topic::congress_governance,topic::elections_campaigns,708
org::cnn|topic::media_communications,org::cnn,topic::media_communications,703
mention::realdonaldtrump|topic::law_justice_crime,mention::realdonaldtrump,topic::law_justice_crime,700
mention::foxandfriends|topic::media_communications,mention::foxandfriends,topic::media_communications,676
topic::congress_governance|topic::defense_military_veterans,topic::congress_governance,topic::defense_military_veterans,650
org::f|topic::media_communications,org::f,topic::media_communications,621
per::c|topic::media_communications,per::c,topic::media_communications,614
loc::china|topic::foreign_policy_diplomacy,loc::china,topic::foreign_policy_diplomacy,603
per::iden|topic::media_communications,per::iden,topic::media_communications,601
hashtag::trump2016|topic::elections_campaigns,hashtag::trump2016,topic::elections_campaigns,599
topic::elections_campaigns|topic::endorsements_appointments,topic::elections_campaigns,topic::endorsements_appointments,589
topic::media_communications|topic::social_culture_education,topic::media_communications,topic::social_culture_education,584
topic::elections_campaigns|topic::health_public_health,topic::elections_campaigns,topic::health_public_health,580
loc::u. s|topic::media_communications,loc::u. s,topic::media_communications,561
topic::congress_governance|topic::immigration_border,topic::congress_governance,topic::immigration_border,556
topic::foreign_policy_diplomacy|topic::law_justice_crime,topic::foreign_policy_diplomacy,topic::law_justice_crime,548
loc::white house|topic::media_communications,loc::white house,topic::media_communications,536
org::fbi|topic::media_communications,org::fbi,topic::media_communications,523
topic::defense_military_veterans|topic::media_communications,topic::defense_military_veterans,topic::media_communications,522
mention::realdonaldtrump|topic::foreign_policy_diplomacy,mention::realdonaldtrump,topic::foreign_policy_diplomacy,511
per::joe biden|topic::law_justice_crime,per::joe biden,topic::law_justice_crime,501
topic::foreign_policy_diplomacy|topic::health_public_health,topic::foreign_policy_diplomacy,topic::health_public_health,499
per::b|topic::law_justice_crime,per::b,topic::law_justice_crime,496
topic::endorsements_appointments|topic::health_public_health,topic::endorsements_appointments,topic::health_public_health,487
loc::china|topic::media_communications,loc::china,topic::media_communications,483
loc::united states|topic::media_communications,loc::united states,topic::media_communications,474
per::trump|topic::endorsements_appointments,per::trump,topic::endorsements_appointments,460
per::c|per::joe biden,per::c,per::joe biden,457
per::c|topic::law_justice_crime,per::c,topic::law_justice_crime,454
loc::u. s|topic::foreign_policy_diplomacy,loc::u. s,topic::foreign_policy_diplomacy,446
loc::russia|topic::media_communications,loc::russia,topic::media_communications,444
per::b|topic::elections_campaigns,per::b,topic::elections_campaigns,438
loc::america|mention::realdonaldtrump,loc::america,mention::realdonaldtrump,434
loc::america|topic::elections_campaigns,loc::america,topic::elections_campaigns,427
org::senate|topic::congress_governance,org::senate,topic::congress_governance,426
org::b|topic::media_communications,org::b,topic::media_communications,416
per::trump|topic::health_public_health,per::trump,topic::health_public_health,409
loc::united states|topic::foreign_policy_diplomacy,loc::united states,topic::foreign_policy_diplomacy,402
per::joe biden|topic::elections_campaigns,per::joe biden,topic::elections_campaigns,402
mention::cnn|topic::media_communications,mention::cnn,topic::media_communications,400
mention::apprenticenbc|topic::media_communications,mention::apprenticenbc,topic::media_communications,392
org::house|topic::congress_governance,org::house,topic::congress_governance,380
hashtag::maga|topic::media_communications,hashtag::maga,topic::media_communications,378
loc::iran|topic::foreign_policy_diplomacy,loc::iran,topic::foreign_policy_diplomacy,375
per::obama|topic::foreign_policy_diplomacy,per::obama,topic::foreign_policy_diplomacy,375
mention::barackobama|topic::media_communications,mention::barackobama,topic::media_communications,371
topic::defense_military_veterans|topic::health_public_health,topic::defense_military_veterans,topic::health_public_health,367
hashtag::trump2016|mention::realdonaldtrump,hashtag::trump2016,mention::realdonaldtrump,365
mention::cnn|org::cnn,mention::cnn,org::cnn,365
per::trump|topic::foreign_policy_diplomacy,per::trump,topic::foreign_policy_diplomacy,362
org::fake news|topic::media_communications,org::fake news,topic::media_communications,357
org::nbc|topic::media_communications,org::nbc,topic::media_communications,349
per::donald trump|topic::elections_campaigns,per::donald trump,topic::elections_campaigns,349
mention::teamtrump|topic::media_communications,mention::teamtrump,topic::media_communications,345
per::obama|topic::health_public_health,per::obama,topic::health_public_health,341
loc::florida|topic::media_communications,loc::florida,topic::media_communications,338
loc::usa|topic::media_communications,loc::usa,topic::media_communications,337
per::b|per::trump,per::b,per::trump,336
loc::america|topic::health_public_health,loc::america,topic::health_public_health,335
topic::endorsements_appointments|topic::foreign_policy_diplomacy,topic::endorsements_appointments,topic::foreign_policy_diplomacy,334
per::c|topic::elections_campaigns,per::c,topic::elections_campaigns,332
mention::seanhannity|topic::media_communications,mention::seanhannity,topic::media_communications,330
per::iden|topic::elections_campaigns,per::iden,topic::elections_campaigns,327
loc::america|topic::law_justice_crime,loc::america,topic::law_justice_crime,326
per::donald|topic::media_communications,per::donald,topic::media_communications,318
loc::united states|topic::law_justice_crime,loc::united states,topic::law_justice_crime,315
per::iden|topic::law_justice_crime,per::iden,topic::law_justice_crime,315
per::obama|topic::law_justice_crime,per::obama,topic::law_justice_crime,310
topic::energy_environment|topic::law_justice_crime,topic::energy_environment,topic::law_justice_crime,310
loc::iowa|topic::media_communications,loc::iowa,topic::media_communications,308
loc::new york|topic::law_justice_crime,loc::new york,topic::law_justice_crime,307
org::senate|topic::media_communications,org::senate,topic::media_communications,302
hashtag::trump2016|topic::media_communications,hashtag::trump2016,topic::media_communications,301
mention::ivankatrump|topic::media_communications,mention::ivankatrump,topic::media_communications,298
loc::u. s|topic::law_justice_crime,loc::u. s,topic::law_justice_crime,297
topic::defense_military_veterans|topic::elections_campaigns,topic::defense_military_veterans,topic::elections_campaigns,296
mention::realdonaldtrump|mention::whitehouse,mention::realdonaldtrump,mention::whitehouse,294
org::d|topic::media_communications,org::d,topic::media_communications,288
topic::defense_military_veterans|topic::law_justice_crime,topic::defense_military_veterans,topic::law_justice_crime,287
hashtag::makeamericagreatagain|topic::elections_campaigns,hashtag::makeamericagreatagain,topic::elections_campaigns,286
topic::congress_governance|topic::endorsements_appointments,topic::congress_governance,topic::endorsements_appointments,286
topic::endorsements_appointments|topic::law_justice_crime,topic::endorsements_appointments,topic::law_justice_crime,284
loc::new york|topic::media_communications,loc::new york,topic::media_communications,282
org::a|topic::media_communications,org::a,topic::media_communications,281
org::congress|topic::media_communications,org::congress,topic::media_communications,279
org::r|topic::media_communications,org::r,topic::media_communications,278
topic::energy_environment|topic::foreign_policy_diplomacy,topic::energy_environment,topic::foreign_policy_diplomacy,278
mention::realdonaldtrump|per::donald,mention::realdonaldtrump,per::donald,272
mention::danscavino|topic::media_communications,mention::danscavino,topic::media_communications,271
hashtag::makeamericagreatagain|topic::media_communications,hashtag::makeamericagreatagain,topic::media_communications,269
loc::america|per::trump,loc::america,per::trump,268
per::iden|per::trump,per::iden,per::trump,268
loc::russia|topic::foreign_policy_diplomacy,loc::russia,topic::foreign_policy_diplomacy,264
topic::defense_military_veterans|topic::immigration_border,topic::defense_military_veterans,topic::immigration_border,264
per::hillary|topic::media_communications,per::hillary,topic::media_communications,263
mention::whitehouse|topic::health_public_health,mention::whitehouse,topic::health_public_health,256
hashtag::trump2016|per::trump,hashtag::trump2016,per::trump,253
loc::america|topic::foreign_policy_diplomacy,loc::america,topic::foreign_policy_diplomacy,251
loc::ukraine|topic::foreign_policy_diplomacy,loc::ukraine,topic::foreign_policy_diplomacy,251
mention::realamericasvoice|topic::media_communications,mention::realamericasvoice,topic::media_communications,251
org::congress|topic::law_justice_crime,org::congress,topic::law_justice_crime,249
per::kamal|topic::media_communications,per::kamal,topic::media_communications,249
mention::realdonaldtrump|topic::energy_environment,mention::realdonaldtrump,topic::energy_environment,248
per::donald j|per::trump,per::donald j,per::trump,246
loc::pennsylvania|topic::media_communications,loc::pennsylvania,topic::media_communications,245
mention::rsbn|topic::media_communications,mention::rsbn,topic::media_communications,245
hashtag::celebapprentice|topic::media_communications,hashtag::celebapprentice,topic::media_communications,244
org::house|topic::media_communications,org::house,topic::media_communications,240
org::newsmax|topic::media_communications,org::newsmax,topic::media_communications,236
mention::realdonaldtrump|mention::teamtrump,mention::realdonaldtrump,mention::teamtrump,235
per::hillary clinton|topic::media_communications,per::hillary clinton,topic::media_communications,234
per::c|per::rook,per::c,per::rook,231
per::joe|topic::media_communications,per::joe,topic::media_communications,230
loc::florida|topic::elections_campaigns,loc::florida,topic::elections_campaigns,226
loc::russia|topic::law_justice_crime,loc::russia,topic::law_justice_crime,226
mention::donaldjtrumpjr|topic::media_communications,mention::donaldjtrumpjr,topic::media_communications,226
mention::realdonaldtrump|topic::congress_governance,mention::realdonaldtrump,topic::congress_governance,226
loc::georgia|topic::media_communications,loc::georgia,topic::media_communications,224
loc::mexico|topic::immigration_border,loc::mexico,topic::immigration_border,223
per::obama|topic::elections_campaigns,per::obama,topic::elections_campaigns,223
topic::health_public_health|topic::immigration_border,topic::health_public_health,topic::immigration_border,223
loc::ukraine|topic::media_communications,loc::ukraine,topic::media_communications,222
mention::barackobama|per::baracko,mention::barackobama,per::baracko,222
loc::israel|topic::foreign_policy_diplomacy,loc::israel,topic::foreign_policy_diplomacy,220
mention::realdonaldtrump|org::d,mention::realdonaldtrump,org::d,219
mention::realdonaldtrump|topic::immigration_border,mention::realdonaldtrump,topic::immigration_border,218
loc::us|topic::media_communications,loc::us,topic::media_communications,216
org::congress|topic::defense_military_veterans,org::congress,topic::defense_military_veterans,216
loc::iowa|topic::elections_campaigns,loc::iowa,topic::elections_campaigns,212
org::h|topic::media_communications,org::h,topic::media_communications,212
mention::nytimes|topic::media_communications,mention::nytimes,topic::media_communications,208
mention::rsbn|per::trump,mention::rsbn,per::trump,207
org::n|topic::media_communications,org::n,topic::media_communications,207
per::donald j|topic::media_communications,per::donald j,topic::media_communications,206
mention::realdonaldtrump|topic::social_culture_education,mention::realdonaldtrump,topic::social_culture_education,205
org::t|topic::media_communications,org::t,topic::media_communications,204
per::trump|topic::immigration_border,per::trump,topic::immigration_border,204
per::jack smith|topic::law_justice_crime,per::jack smith,topic::law_justice_crime,203
topic::congress_governance|topic::energy_environment,topic::congress_governance,topic::energy_environment,202
mention::realdonaldtrump|per::donald trump,mention::realdonaldtrump,per::donald trump,201
per::nancy pelosi|topic::congress_governance,per::nancy pelosi,topic::congress_governance,201
mention::gopchairwoman|topic::media_communications,mention::gopchairwoman,topic::media_communications,200
per::b|topic::health_public_health,per::b,topic::health_public_health,199
org::g|topic::media_communications,org::g,topic::media_communications,198
per::joe biden|topic::health_public_health,per::joe biden,topic::health_public_health,198
mention::newsmax|topic::media_communications,mention::newsmax,topic::media_communications,196
topic::defense_military_veterans|topic::endorsements_appointments,topic::defense_military_veterans,topic::endorsements_appointments,196
mention::erictrump|topic::media_communications,mention::erictrump,topic::media_communications,194
topic::health_public_health|topic::social_culture_education,topic::health_public_health,topic::social_culture_education,194
topic::elections_campaigns|topic::immigration_border,topic::elections_campaigns,topic::immigration_border,193
loc::north korea|topic::foreign_policy_diplomacy,loc::north korea,topic::foreign_policy_diplomacy,192
mention::mittromney|topic::elections_campaigns,mention::mittromney,topic::elections_campaigns,191
per::donald trump|topic::law_justice_crime,per::donald trump,topic::law_justice_crime,191
loc::new hampshire|topic::media_communications,loc::new hampshire,topic::media_communications,190
mention::potus|topic::media_communications,mention::potus,topic::media_communications,189
mention::breitbartnews|topic::media_communications,mention::breitbartnews,topic::media_communications,188
org::f|topic::law_justice_crime,org::f,topic::law_justice_crime,188
loc::iran|topic::media_communications,loc::iran,topic::media_communications,184
org::ake news media|org::f,org::ake news media,org::f,184
loc::america|topic::endorsements_appointments,loc::america,topic::endorsements_appointments,183
mention::apprenticenbc|mention::realdonaldtrump,mention::apprenticenbc,mention::realdonaldtrump,183
org::senate|topic::elections_campaigns,org::senate,topic::elections_campaigns,183
per::trump|topic::congress_governance,per::trump,topic::congress_governance,183
loc::pennsylvania|topic::elections_campaigns,loc::pennsylvania,topic::elections_campaigns,182
org::doj|topic::law_justice_crime,org::doj,topic::law_justice_crime,182
per::b|topic::foreign_policy_diplomacy,per::b,topic::foreign_policy_diplomacy,182
loc::u. s|topic::health_public_health,loc::u. s,topic::health_public_health,180
per::p|topic::media_communications,per::p,topic::media_communications,180
loc::north carolina|topic::media_communications,loc::north carolina,topic::media_communications,179
loc::china|topic::energy_environment,loc::china,topic::energy_environment,178
org::foxnews|topic::health_public_health,org::foxnews,topic::health_public_health,178
mention::mittromney|topic::media_communications,mention::mittromney,topic::media_communications,177
mention::teamtrumppresident|topic::media_communications,mention::teamtrumppresident,topic::media_communications,177
per::hillary|topic::elections_campaigns,per::hillary,topic::elections_campaigns,176
mention::realdonaldtrump|topic::defense_military_veterans,mention::realdonaldtrump,topic::defense_military_veterans,175
org::ake news media|topic::media_communications,org::ake news media,topic::media_communications,175
org::foxnews|topic::law_justice_crime,org::foxnews,topic::law_justice_crime,175
org::fox|topic::media_communications,org::fox,topic::media_communications,174
hashtag::maga|topic::elections_campaigns,hashtag::maga,topic::elections_campaigns,173
mention::gop|topic::media_communications,mention::gop,topic::media_communications,173
per::donald j. trump|topic::media_communications,per::donald j. trump,topic::media_communications,173
hashtag::makeamericagreatagain|org::makea,hashtag::makeamericagreatagain,org::makea,172
org::senate|topic::law_justice_crime,org::senate,topic::law_justice_crime,172
per::“|topic::media_communications,per::“,topic::media_communications,172
loc::michigan|topic::media_communications,loc::michigan,topic::media_communications,171
loc::white house|topic::law_justice_crime,loc::white house,topic::law_justice_crime,171
org::congress|topic::elections_campaigns,org::congress,topic::elections_campaigns,171
per::clinton|topic::media_communications,per::clinton,topic::media_communications,171
per::jim|topic::media_communications,per::jim,topic::media_communications,170
per::mi|topic::media_communications,per::mi,topic::media_communications,170
loc::u. s|topic::immigration_border,loc::u. s,topic::immigration_border,169
mention::foxnews|mention::realdonaldtrump,mention::foxnews,mention::realdonaldtrump,169
per::donald trump|topic::endorsements_appointments,per::donald trump,topic::endorsements_appointments,169
topic::foreign_policy_diplomacy|topic::immigration_border,topic::foreign_policy_diplomacy,topic::immigration_border,169
mention::jim_jordan|per::jim,mention::jim_jordan,per::jim,168
per::mi|topic::elections_campaigns,per::mi,topic::elections_campaigns,168
org::a|topic::law_justice_crime,org::a,topic::law_justice_crime,167
mention::foxnews|topic::health_public_health,mention::foxnews,topic::health_public_health,166
mention::jim_jordan|per::jordan,mention::jim_jordan,per::jordan,166
loc::chicago|topic::media_communications,loc::chicago,topic::media_communications,165
loc::georgia|topic::elections_campaigns,loc::georgia,topic::elections_campaigns,165
mention::foxandfriends|topic::health_public_health,mention::foxandfriends,topic::health_public_health,165
org::p|topic::media_communications,org::p,topic::media_communications,165
loc::texas|topic::media_communications,loc::texas,topic::media_communications,163
loc::united states|topic::endorsements_appointments,loc::united states,topic::endorsements_appointments,163
per::hillary clinton|topic::law_justice_crime,per::hillary clinton,topic::law_justice_crime,163
per::jim|per::jordan,per::jim,per::jordan,163
loc::america|topic::congress_governance,loc::america,topic::congress_governance,162
mention::realdonaldtrump|per::obama,mention::realdonaldtrump,per::obama,161
per::nancy pelosi|topic::media_communications,per::nancy pelosi,topic::media_communications,161
loc::washington|topic::media_communications,loc::washington,topic::media_communications,160
mention::foxnews|topic::law_justice_crime,mention::foxnews,topic::law_justice_crime,160
per::g|topic::media_communications,per::g,topic::media_communications,160
per::trump|per::“,per::trump,per::“,159
hashtag::makeamericagreatagain|hashtag::trump2016,hashtag::makeamericagreatagain,hashtag::trump2016,158
mention::marklevinshow|topic::media_communications,mention::marklevinshow,topic::media_communications,158
mention::newsmax|org::newsmax,mention::newsmax,org::newsmax,158
org::congress|topic::immigration_border,org::congress,topic::immigration_border,158
mention::whitehouse|org::whitehouse,mention::whitehouse,org::whitehouse,157
mention::mittromney|per::mi,mention::mittromney,per::mi,156
per::b|per::joe biden,per::b,per::joe biden,156
mention::realamericasvoice|mention::rsbn,mention::realamericasvoice,mention::rsbn,155
org::news|topic::media_communications,org::news,topic::media_communications,155
per::joe biden|topic::immigration_border,per::joe biden,topic::immigration_border,155
mention::megynkelly|topic::media_communications,mention::megynkelly,topic::media_communications,154
org::republican party|topic::media_communications,org::republican party,topic::media_communications,154
mention::newsmax|mention::realamericasvoice,mention::newsmax,mention::realamericasvoice,153
mention::newsmax|mention::rsbn,mention::newsmax,mention::rsbn,153
loc::united states|topic::elections_campaigns,loc::united states,topic::elections_campaigns,152
per::hillary clinton|topic::elections_campaigns,per::hillary clinton,topic::elections_campaigns,152
loc::israel|topic::media_communications,loc::israel,topic::media_communications,151
mention::realamericasvoice|per::trump,mention::realamericasvoice,per::trump,151
per::kamal|topic::elections_campaigns,per::kamal,topic::elections_campaigns,151
org::c|topic::media_communications,org::c,topic::media_communications,150
mention::flotus|topic::media_communications,mention::flotus,topic::media_communications,149
org::fox news|topic::media_communications,org::fox news,topic::media_communications,149
per::p|topic::congress_governance,per::p,topic::congress_governance,148
topic::congress_governance|topic::foreign_policy_diplomacy,topic::congress_governance,topic::foreign_policy_diplomacy,148
loc::china|loc::u. s,loc::china,loc::u. s,147
mention::realamericasvoice|org::newsmax,mention::realamericasvoice,org::newsmax,147
mention::rsbn|org::newsmax,mention::rsbn,org::newsmax,147
loc::country|topic::media_communications,loc::country,topic::media_communications,146
org::newsmax|per::trump,org::newsmax,per::trump,146
per::god|topic::media_communications,per::god,topic::media_communications,146
loc::florida|topic::health_public_health,loc::florida,topic::health_public_health,144
mention::foxandfriends|mention::realdonaldtrump,mention::foxandfriends,mention::realdonaldtrump,144
mention::newsmax|per::trump,mention::newsmax,per::trump,144
hashtag::celebrityapprentice|topic::media_communications,hashtag::celebrityapprentice,topic::media_communications,143
org::whitehouse|topic::media_communications,org::whitehouse,topic::media_communications,142
loc::china|topic::health_public_health,loc::china,topic::health_public_health,141
org::foxnews|topic::elections_campaigns,org::foxnews,topic::elections_campaigns,141
org::m|topic::media_communications,org::m,topic::media_communications,141
mention::rumble|topic::media_communications,mention::rumble,topic::media_communications,140
per::d|topic::media_communications,per::d,topic::media_communications,140
per::kamala harris|topic::media_communications,per::kamala harris,topic::media_communications,140
mention::jim_jordan|topic::media_communications,mention::jim_jordan,topic::media_communications,139
per::adam schiff|topic::media_communications,per::adam schiff,topic::media_communications,139
per::clinton|topic::law_justice_crime,per::clinton,topic::law_justice_crime,139
per::joe biden|per::trump,per::joe biden,per::trump,139
per::j|topic::media_communications,per::j,topic::media_communications,139
loc::washington|topic::congress_governance,loc::washington,topic::congress_governance,138
per::joe biden|topic::foreign_policy_diplomacy,per::joe biden,topic::foreign_policy_diplomacy,138
loc::u. s|topic::congress_governance,loc::u. s,topic::congress_governance,137
loc::united states|topic::health_public_health,loc::united states,topic::health_public_health,137
mention::barackobama|topic::elections_campaigns,mention::barackobama,topic::elections_campaigns,137
mention::rsbn|per::donald j,mention::rsbn,per::donald j,137
per::jack smith|topic::media_communications,per::jack smith,topic::media_communications,137
topic::elections_campaigns|topic::energy_environment,topic::elections_campaigns,topic::energy_environment,137
loc::syria|topic::foreign_policy_diplomacy,loc::syria,topic::foreign_policy_diplomacy,136
per::je|topic::media_communications,per::je,topic::media_communications,136
loc::america|topic::immigration_border,loc::america,topic::immigration_border,135
loc::usa|topic::foreign_policy_diplomacy,loc::usa,topic::foreign_policy_diplomacy,135
loc::wisconsin|topic::media_communications,loc::wisconsin,topic::media_communications,135
mention::realamericasvoice|mention::rumble,mention::realamericasvoice,mention::rumble,135
mention::realdonaldtrump|per::d,mention::realdonaldtrump,per::d,135
org::america first|topic::congress_governance,org::america first,topic::congress_governance,135
org::house|topic::law_justice_crime,org::house,topic::law_justice_crime,135
per::trump|topic::energy_environment,per::trump,topic::energy_environment,135
mention::rsbn|mention::rumble,mention::rsbn,mention::rumble,134
mention::greggjarrett|topic::media_communications,mention::greggjarrett,topic::media_communications,133
loc::new hampshire|topic::elections_campaigns,loc::new hampshire,topic::elections_campaigns,132
mention::newsmax|mention::rumble,mention::newsmax,mention::rumble,132
per::jordan|topic::media_communications,per::jordan,topic::media_communications,132
per::rook|topic::media_communications,per::rook,topic::media_communications,132
mention::loudobbs|topic::media_communications,mention::loudobbs,topic::media_communications,131
mention::realamericasvoice|per::donald j,mention::realamericasvoice,per::donald j,131
org::supreme court|topic::media_communications,org::supreme court,topic::media_communications,131
mention::barackobama|per::barackobama,mention::barackobama,per::barackobama,130
mention::rumble|per::trump,mention::rumble,per::trump,130
hashtag::makeamericagreatagain|org::g,hashtag::makeamericagreatagain,org::g,129
loc::trump tower|topic::media_communications,loc::trump tower,topic::media_communications,129
loc::usa|topic::law_justice_crime,loc::usa,topic::law_justice_crime,129
mention::oan|topic::media_communications,mention::oan,topic::media_communications,129
org::b|topic::law_justice_crime,org::b,topic::law_justice_crime,129
per::a|topic::media_communications,per::a,topic::media_communications,129
topic::defense_military_veterans|topic::energy_environment,topic::defense_military_veterans,topic::energy_environment,129
loc::china|topic::economy_trade_taxes,loc::china,topic::economy_trade_taxes,128
loc::georgia|topic::law_justice_crime,loc::georgia,topic::law_justice_crime,128
mention::newsmax|per::donald j,mention::newsmax,per::donald j,128
loc::united states|topic::immigration_border,loc::united states,topic::immigration_border,127
mention::whitehouse|topic::foreign_policy_diplomacy,mention::whitehouse,topic::foreign_policy_diplomacy,127
org::d|topic::law_justice_crime,org::d,topic::law_justice_crime,127
per::a harris|per::kamal,per::a harris,per::kamal,127
loc::mar - a - lago|topic::media_communications,loc::mar - a - lago,topic::media_communications,126
loc::nyc|topic::media_communications,loc::nyc,topic::media_communications,126
loc::u. s|topic::elections_campaigns,loc::u. s,topic::elections_campaigns,126
mention::rumble|org::newsmax,mention::rumble,org::newsmax,126
per::iden|per::joe biden,per::iden,per::joe biden,126
per::je|topic::elections_campaigns,per::je,topic::elections_campaigns,126
per::mike|topic::media_communications,per::mike,topic::media_communications,126
mention::tomfitton|topic::media_communications,mention::tomfitton,topic::media_communications,125
org::america first|topic::defense_military_veterans,org::america first,topic::defense_military_veterans,125
per::iden|topic::health_public_health,per::iden,topic::health_public_health,125
loc::ohio|topic::media_communications,loc::ohio,topic::media_communications,124
org::abc|topic::media_communications,org::abc,topic::media_communications,124
per::c|per::ed hillary,per::c,per::ed hillary,124
per::c|topic::health_public_health,per::c,topic::health_public_health,124
hashtag::makeamericagreatagain|mention::realdonaldtrump,hashtag::makeamericagreatagain,mention::realdonaldtrump,123
loc::d. c|topic::media_communications,loc::d. c,topic::media_communications,123
mention::barackobama|topic::health_public_health,mention::barackobama,topic::health_public_health,123
mention::oan|mention::realamericasvoice,mention::oan,mention::realamericasvoice,123
mention::oan|mention::rsbn,mention::oan,mention::rsbn,123
org::o|topic::media_communications,org::o,topic::media_communications,123
org::r|topic::elections_campaigns,org::r,topic::elections_campaigns,123
per::e|topic::media_communications,per::e,topic::media_communications,123
per::obama|per::trump,per::obama,per::trump,123
mention::gopchairwoman|mention::realdonaldtrump,mention::gopchairwoman,mention::realdonaldtrump,122
mention::newsmax|mention::oan,mention::newsmax,mention::oan,122
mention::realdonaldtrump|org::foxnews,mention::realdonaldtrump,org::foxnews,122
org::doj|topic::media_communications,org::doj,topic::media_communications,122
org::newsmax|per::donald j,org::newsmax,per::donald j,122
per::baracko|topic::media_communications,per::baracko,topic::media_communications,122
loc::mexico|topic::foreign_policy_diplomacy,loc::mexico,topic::foreign_policy_diplomacy,121
loc::texas|topic::congress_governance,loc::texas,topic::congress_governance,121
mention::nbc|topic::media_communications,mention::nbc,topic::media_communications,121
per::joe biden|topic::congress_governance,per::joe biden,topic::congress_governance,120
per::r|topic::media_communications,per::r,topic::media_communications,120
loc::florida|topic::congress_governance,loc::florida,topic::congress_governance,119
org::house|org::senate,org::house,org::senate,119
org::military|topic::defense_military_veterans,org::military,topic::defense_military_veterans,119
per::ka|topic::media_communications,per::ka,topic::media_communications,119
loc::country|topic::law_justice_crime,loc::country,topic::law_justice_crime,118
mention::oan|org::newsmax,mention::oan,org::newsmax,118
mention::rumble|per::donald j,mention::rumble,per::donald j,118
org::fake news media|topic::media_communications,org::fake news media,topic::media_communications,118
org::supreme court|topic::law_justice_crime,org::supreme court,topic::law_justice_crime,118
per::iden|topic::foreign_policy_diplomacy,per::iden,topic::foreign_policy_diplomacy,118
per::l|topic::media_communications,per::l,topic::media_communications,118
loc::america|per::joe biden,loc::america,per::joe biden,117
loc::arizona|topic::media_communications,loc::arizona,topic::media_communications,117
loc::michigan|topic::elections_campaigns,loc::michigan,topic::elections_campaigns,117
mention::macys|topic::media_communications,mention::macys,topic::media_communications,117
org::administration|topic::media_communications,org::administration,topic::media_communications,117
loc::florida|topic::law_justice_crime,loc::florida,topic::law_justice_crime,116
mention::barackobama|topic::foreign_policy_diplomacy,mention::barackobama,topic::foreign_policy_diplomacy,116
mention::realdonaldtrump|per::b,mention::realdonaldtrump,per::b,116
org::republican party|topic::elections_campaigns,org::republican party,topic::elections_campaigns,116
org::senate|topic::health_public_health,org::senate,topic::health_public_health,116
loc::border|topic::immigration_border,loc::border,topic::immigration_border,115
loc::iraq|topic::foreign_policy_diplomacy,loc::iraq,topic::foreign_policy_diplomacy,115
loc::texas|topic::elections_campaigns,loc::texas,topic::elections_campaigns,115
loc::white house|topic::elections_campaigns,loc::white house,topic::elections_campaigns,115
mention::breitbartnews|org::b,mention::breitbartnews,org::b,115
mention::celebapprentice|topic::media_communications,mention::celebapprentice,topic::media_communications,115
