week_id,week_start,week_end,posts_processed,retruths,original_posts,unique_nodes,edge_count,negative_posts,neutral_posts,positive_posts,top_topic,top_topic_node,top_topic_count,top_entity,top_entity_node,top_entity_count,top_nodes_json
2022-W26,2022-06-27,2022-07-03,55,7,48,81,327,29,7,19,Media Communications,topic::media_communications,30,Cassidy Hutchinson,per::cassidy hutchinson,6,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":30},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":19},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":12},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":12},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":11},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":7},{""node"":""per::cassidy hutchinson"",""label"":""Cassidy Hutchinson"",""count"":6},{""node"":""per::trump"",""label"":""Trump"",""count"":6},{""node"":""loc::illinois"",""label"":""Illinois"",""count"":5},{""node"":""loc::florida"",""label"":""Florida"",""count"":5}]"
2022-W27,2022-07-04,2022-07-10,81,22,59,110,561,40,14,27,Media Communications,topic::media_communications,52,Trump,per::trump,10,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":52},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":26},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":16},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":12},{""node"":""per::trump"",""label"":""Trump"",""count"":10},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":9},{""node"":""loc::alaska"",""label"":""Alaska"",""count"":9},{""node"":""loc::america"",""label"":""America"",""count"":7},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":7},{""node"":""org::unselect committee"",""label"":""Unselect Committee"",""count"":6}]"
2022-W28,2022-07-11,2022-07-17,32,5,27,50,152,13,8,11,Media Communications,topic::media_communications,23,F,org::f,3,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":23},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":8},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":6},{""node"":""org::f"",""label"":""F"",""count"":3},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":3},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":3},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":3},{""node"":""org::unselect committee"",""label"":""Unselect Committee"",""count"":3},{""node"":""per::trump"",""label"":""Trump"",""count"":3},{""node"":""per::joe biden"",""label"":""Joe Biden"",""count"":2}]"
2022-W29,2022-07-18,2022-07-24,58,16,42,68,279,23,17,18,Media Communications,topic::media_communications,35,Trump,per::trump,8,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":35},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":17},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":16},{""node"":""per::trump"",""label"":""Trump"",""count"":8},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":7},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":6},{""node"":""loc::arizona"",""label"":""Arizona"",""count"":6},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":5},{""node"":""loc::maryland"",""label"":""Maryland"",""count"":5},{""node"":""org::unselect committee"",""label"":""Unselect Committee"",""count"":4}]"
2022-W30,2022-07-25,2022-07-31,44,20,24,75,225,18,6,20,Media Communications,topic::media_communications,29,Justice Department,org::justice department,3,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":29},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":10},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":7},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":6},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":4},{""node"":""topic::immigration_border"",""label"":""Immigration Border"",""count"":4},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":3},{""node"":""org::justice department"",""label"":""Justice Department"",""count"":3},{""node"":""per::robin vos"",""label"":""Robin Vos"",""count"":3},{""node"":""loc::missouri"",""label"":""Missouri"",""count"":3}]"
2022-W31,2022-08-01,2022-08-07,85,30,55,100,537,18,34,33,Media Communications,topic::media_communications,51,Trump,per::trump,13,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":51},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":23},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":21},{""node"":""per::trump"",""label"":""Trump"",""count"":13},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":12},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":11},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":9},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":9},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":8},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":7}]"
2022-W32,2022-08-08,2022-08-14,77,29,48,98,427,31,24,22,Media Communications,topic::media_communications,51,Fbi,org::fbi,9,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":51},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":28},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":14},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":12},{""node"":""org::fbi"",""label"":""Fbi"",""count"":9},{""node"":""loc::mar - a - lago"",""label"":""Mar - A - Lago"",""count"":8},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":7},{""node"":""per::obama"",""label"":""Obama"",""count"":7},{""node"":""org::congress"",""label"":""Congress"",""count"":4},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":4}]"
2022-W33,2022-08-15,2022-08-21,87,20,67,96,417,39,29,19,Media Communications,topic::media_communications,40,Fbi,org::fbi,18,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":40},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":31},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":19},{""node"":""org::fbi"",""label"":""Fbi"",""count"":18},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":14},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":12},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":10},{""node"":""per::trump"",""label"":""Trump"",""count"":10},{""node"":""loc::mar - a - lago"",""label"":""Mar - A - Lago"",""count"":8},{""node"":""per::liz cheney"",""label"":""Liz Cheney"",""count"":8}]"
2022-W34,2022-08-22,2022-08-28,64,6,58,78,293,25,23,16,Media Communications,topic::media_communications,30,Trump,per::trump,15,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":30},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":28},{""node"":""per::trump"",""label"":""Trump"",""count"":15},{""node"":""org::fbi"",""label"":""Fbi"",""count"":13},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":9},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":8},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":7},{""node"":""loc::mar - a - lago"",""label"":""Mar - A - Lago"",""count"":7},{""node"":""per::b"",""label"":""B"",""count"":5},{""node"":""loc::white house"",""label"":""White House"",""count"":4}]"
2022-W35,2022-08-29,2022-09-04,148,96,52,109,505,57,53,38,Media Communications,topic::media_communications,116,Fbi,org::fbi,21,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":116},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":37},{""node"":""org::fbi"",""label"":""Fbi"",""count"":21},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":17},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":16},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":9},{""node"":""per::trump"",""label"":""Trump"",""count"":9},{""node"":""loc::pennsylvania"",""label"":""Pennsylvania"",""count"":9},{""node"":""loc::america"",""label"":""America"",""count"":7},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":6}]"
